players_name,batting_style,bowling_style,country,primary_role,is_caption,is_opener,is_finisher,is_death_bowler,legacy_teams_tag,player_status_tag,total_matchs_played,cap_winner,award_winner,is_man_of_the_match
Bishwajit Das,left-hand,,Indian,batsman,false,true,false,false,RR,retired,2,,false,false
Brett Lee,right-hand,pace,Overseas,bowler,false,false,false,true,DC,retired,11,,true,true
Brice Beveridge,right-hand,,Overseas,batsman,false,true,false,false,GT,active,4,,false,false
C Akhilesh Reddy,right-hand,offbreak,Indian,batsman,false,true,false,false,SRH,retired,1,,false,false
C J Anderson,left-hand,,Overseas,batsman,false,false,true,false,MI,retired,9,,false,false
C Nidhish Sagar,right-hand,,Indian,batsman,false,false,true,false,CSK,active,2,,false,false
C S Mallikarjuna,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Cameron Green,left-hand,pace,Overseas,all-rounder,false,false,true,true,MI,active,15,,true,true
Carlos Brathwaite,right-hand,pace,Overseas,all-rounder,false,false,true,true,RR,retired,14,,true,true
Chaitanya Bishnoi,left-hand,left-arm spin,Indian,bowler,false,false,false,false,RR,active,2,,false,false
Chetan Sakariya,left-hand,pace,Indian,bowler,false,false,false,true,GT,active,28,,false,false
Chintan Gaja,left-hand,left-arm spin,Indian,bowler,false,false,false,false,GT,active,4,,false,false
Chirag Gandhi,left-hand,,Indian,batsman,false,true,false,false,GT,retired,1,,false,false
Chirag Jani,left-hand,,Indian,batsman,false,false,true,false,GT,retired,1,,false,false
Chris Jordan,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,active,36,,true,true
Christopher Barnwell,right-hand,pace,Overseas,all-rounder,false,false,true,true,RR,retired,4,,false,false
Clement Bosch,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,retired,2,,false,false
Colin de Grandhomme,left-hand,pace,Overseas,all-rounder,false,false,true,true,CSK,occasional,22,,true,true
Darshan Nalkande,right-hand,pace,Indian,bowler,false,false,false,false,GT,active,8,,false,false
Daryl Mitchell,right-hand,pace,Overseas,all-rounder,false,false,true,false,CSK,active,18,,true,true
Dasun Shanaka,right-hand,pace,Overseas,batsman,false,false,true,false,SRH,active,7,,false,false
David Miller,left-hand,,Overseas,batsman,false,false,true,false,GT,active,128,,true,true
David Payne,left-hand,pace,Overseas,bowler,false,false,false,true,RR,active,5,,false,false
David Wiese,right-hand,pace,Overseas,all-rounder,false,false,true,true,KKR,retired,26,,true,true
Dawid Malan,left-hand,,Overseas,batsman,false,true,false,false,RCB,active,11,,false,false
De Kock Quinton,left-hand,,Overseas,wk,true,true,false,false,LSG,active,118,,true,true
Deepak Hooda,right-hand,legbreak,Indian,all-rounder,false,false,true,false,LSG,active,89,,true,true
Deepak Chahar,right-hand,pace,Indian,bowler,false,false,false,true,CSK,active,78,,true,true
Devdutt Padikkal,left-hand,,Indian,batsman,false,true,false,false,RCB,active,59,,true,true
Devendra Bishoo,left-hand,legbreak,Overseas,bowler,false,false,false,false,RR,retired,4,,false,false
Dhruv Jurel,right-hand,,Indian,wk,false,false,false,false,RR,active,15,,false,false
Dhruv Shorey,right-hand,,Indian,batsman,false,true,false,false,DC,retired,1,,false,false
Dinesh Karthik,right-hand,,Indian,wk,true,false,true,false,RCB,active,259,,true,true
Diwesh Pathania,right-hand,pace,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Dixit Dhaval,right-hand,pace,Indian,bowler,false,false,false,false,GT,retired,1,,false,false
Dwayne Bravo,right-hand,pace,Overseas,all-rounder,true,false,true,true,CSK,retired,161,purple,true,true
Dwayne Smith,right-hand,pace,Overseas,batsman,false,true,true,false,CSK,retired,51,,true,true
Eoin Morgan,left-hand,,Overseas,batsman,true,true,false,false,KKR,retired,109,,true,true
Evangelista Mnyaka,right-hand,pace,Overseas,bowler,false,false,false,false,DC,active,3,,false,false
Faf du Plessis,right-hand,,Overseas,batsman,true,true,false,false,RCB,active,132,orange,true,true
Fabian Allen,left-hand,left-arm spin,Overseas,all-rounder,false,false,true,false,PBKS,active,16,,false,false
Faf du Plessis,right-hand,,Overseas,batsman,true,true,false,false,RCB,active,132,orange,true,true
Feroze Khushi,right-hand,,Indian,batsman,false,true,false,false,CSK,active,2,,false,false
G Ajitesh,right-hand,,Indian,wk,false,true,false,false,CSK,active,2,,false,false
G Nidhish Sagar,right-hand,,Indian,batsman,false,false,true,false,CSK,active,2,,false,false
G Shahrukh Khan,right-hand,offbreak,Indian,batsman,false,false,true,false,PBKS,active,35,,false,false
Gagandeep Singh,right-hand,pace,Indian,bowler,false,false,false,false,PBKS,retired,1,,false,false
Gajanan Kshirsagar,right-hand,left-arm spin,Indian,bowler,false,false,false,false,MI,retired,1,,false,false
Gandhi Chirag,left-hand,,Indian,batsman,false,true,false,false,GT,retired,1,,false,false
Ganesh Chaturvedi,right-hand,,Indian,batsman,false,true,false,false,LSG,active,1,,false,false
Ganesh Kumar,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Gaurav Tomar,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Gautam Gambhir,left-hand,offbreak,Indian,batsman,true,true,false,false,KKR,retired,152,,true,true
Gavaskar Surya,right-hand,,Indian,wk,false,true,false,false,GT,active,3,,false,false
Glenn Phillips,right-hand,offbreak,Overseas,batsman,false,true,false,false,DC,active,9,,false,false
Gourav Mahajan,right-hand,legbreak,Indian,bowler,false,false,false,false,MI,retired,1,,false,false
Govind Poddar,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Govinda Poddar,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Gowtham C,right-hand,offbreak,Indian,all-rounder,false,false,false,false,CSK,active,16,,false,false
Gujjar Rakesh,right-hand,pace,Indian,bowler,false,false,false,false,DC,retired,1,,false,false
Gulshan Raheja,right-hand,,Indian,batsman,false,true,false,false,DC,retired,1,,false,false
Gurkeerat Singh,right-hand,offbreak,Indian,batsman,false,false,true,false,PBKS,retired,56,,false,false
Gurpreet Singh,right-hand,,Indian,batsman,false,true,false,false,PBKS,retired,2,,false,false
Gurpreet Singh Sandhu,right-hand,,Indian,batsman,false,true,false,false,PBKS,retired,1,,false,false
Hardeep Singh,right-hand,,Indian,batsman,false,true,false,false,PBKS,retired,1,,false,false
Harmanpreet Singh,right-hand,,Indian,batsman,false,false,true,false,PBKS,active,7,,false,false
Harpreet Brar,left-hand,left-arm spin,Indian,bowler,false,false,false,false,PBKS,active,39,,false,false
Harpreet Singh Bhatia,right-hand,,Indian,batsman,false,false,true,false,RCB,active,8,,false,false
Hashim Amla,right-hand,offbreak,Overseas,batsman,false,true,false,false,KKR,retired,11,,false,false
Heinrich Klaasen,right-hand,,Overseas,wk,false,false,true,false,SRH,active,32,,true,true
Hemant Joshi,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Henrich Klaasen,right-hand,,Overseas,wk,false,false,true,false,RCH,active,32,,true,true
Himanshu Rana,right-hand,,Indian,batsman,false,true,false,false,SRH,active,3,,false,false
Hiten Dalal,right-hand,,Indian,batsman,false,true,false,false,DC,retired,1,,false,false
Hiten Patel,right-hand,left-arm spin,Indian,bowler,false,false,false,false,RCB,retired,1,,false,false
Huliya Nataraj,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Ian Butler,right-hand,pace,Overseas,bowler,false,false,false,true,CSK,retired,5,,false,false
Irfan Pathan,left-hand,pace,Indian,all-rounder,true,false,false,true,DC,retired,68,,true,true
Ishan Kishan,left-hand,,Indian,wk,false,true,false,false,MI,active,105,,true,true
Ishan Porel,right-hand,pace,Indian,bowler,false,false,false,false,DC,active,15,,false,false
Ivar Johnson,right-hand,,Overseas,wk,false,true,false,false,DC,retired,2,,false,false
J Arunkumar,right-hand,offbreak,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
J Suchith,left-hand,left-arm spin,Indian,bowler,false,false,false,false,DC,retired,24,,false,false
J Syed Mohammad,right-hand,offbreak,Indian,bowler,false,false,false,false,CSK,retired,1,,false,false
Jitesh Sharma,right-hand,,Indian,wk,false,false,true,false,PBKS,active,38,,false,false
Jitesh Sharma,right-hand,,Indian,wk,false,false,true,false,PBKS,active,38,,false,false
Jitesh Sharma,right-hand,,Indian,wk,false,false,true,false,PBKS,active,38,,false,false
Jofra Archer,right-hand,pace,Overseas,bowler,false,false,false,true,RR,occasional,34,,true,true
Johan Botha,right-hand,offbreak,Overseas,bowler,false,false,false,false,MI,retired,24,,false,false
Jon-Jon Smuts,right-hand,offbreak,Overseas,all-rounder,false,false,false,false,DC,retired,2,,false,false
Jordon Thompson,right-hand,pace,Overseas,all-rounder,false,false,true,false,KKR,active,4,,false,false
Jos Buttler,right-hand,,Overseas,wk,true,true,false,false,RR,active,105,orange,true,true
Joseph Alzarri,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,active,22,,false,false
Karan Sharma,right-hand,offbreak,Indian,all-rounder,false,false,false,false,DD,retired,45,,false,false
Karn Sharma,right-hand,legbreak,Indian,bowler,false,false,false,false,RR,active,89,,false,false
Karthik Kumar,right-hand,,Indian,batsman,false,true,false,false,CSK,retired,1,,false,false
Karthik Renganathan,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Karthik Senthilnathan,right-hand,,Indian,batsman,false,true,false,false,CSK,retired,1,,false,false
Karu Jain,right-hand,,Indian,batsman,false,true,false,false,DC,retired,2,,false,false
Kashyap Zade,right-hand,pace,Indian,bowler,false,false,false,false,MI,retired,1,,false,false
Kedar Jadhav,right-hand,offbreak,Indian,batsman,false,false,true,false,CSK,retired,104,,true,true
Keemo Paul,right-hand,pace,Overseas,all-rounder,false,false,true,true,RR,retired,6,,false,false
Ketan Mhatre,right-hand,,Indian,batsman,false,true,false,false,MI,retired,1,,false,false
Kevon Cooper,right-hand,legbreak,Overseas,all-rounder,false,false,false,false,RR,retired,11,,false,false
Kieron Pollard,right-hand,pace,Overseas,all-rounder,false,false,true,false,MI,retired,204,,true,true
Kirankumar Vaidya,left-hand,left-arm spin,Indian,bowler,false,false,false,false,GT,retired,1,,false,false
Kiran More,right-hand,,Indian,wk,true,false,false,false,RCB,retired,1,,false,false
Kishen Vaghela,right-hand,offbreak,Indian,bowler,false,false,false,false,GT,retired,1,,false,false
Kishore Kamath,right-hand,,Indian,wk,false,true,false,false,RCB,retired,1,,false,false
Kshitij Sharma,right-hand,legbreak,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Kusal Janith Perera,left-hand,,Overseas,wk,false,true,false,false,RR,retired,2,,false,false
Kyle Jamieson,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,active,7,,false,false
Lalit Yadav,right-hand,left-arm spin,Indian,all-rounder,false,false,false,false,DC,active,26,,false,false
Lalit Singh,right-hand,,Indian,batsman,false,true,false,false,LSG,active,2,,false,false
Laxman Sreekumar,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Liam Livingstone,right-hand,offbreak,Overseas,batsman,false,true,true,false,PBKS,active,28,,true,true
Lungi Ngidi,right-hand,pace,Overseas,bowler,false,false,false,true,LSG,active,14,,false,false
Luvnith Sisodia,right-hand,,Indian,wk,false,true,false,false,RCB,retired,5,,false,false
Maan Singh,right-hand,,Indian,batsman,false,true,false,false,DC,retired,1,,false,false
Mahela Jayawardene,right-hand,offbreak,Overseas,batsman,true,true,false,false,KXIP,retired,34,,true,true
Mahmudullah,right-hand,offbreak,Overseas,all-rounder,false,false,false,false,DC,retired,16,,false,false
Manan Vohra,right-hand,offbreak,Indian,batsman,false,true,false,false,KXIP,retired,55,,false,false
Mandeep Singh,right-hand,,Indian,batsman,false,true,false,false,PBKS,retired,120,,false,false
Manish Pandey,right-hand,offbreak,Indian,batsman,false,true,false,false,SRH,active,171,,true,true
Manjeet Singh,right-hand,,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Manoj Tiwary,right-hand,legbreak,Indian,batsman,true,true,false,false,KKR,retired,66,,false,false
Mayank Agarwal,right-hand,,Indian,batsman,false,true,false,false,PBKS,occasional,127,,true,true
Mayank Dagar,left-hand,left-arm spin,Indian,bowler,false,false,false,false,GT,active,14,,false,false
Mayank Markande,right-hand,legbreak,Indian,bowler,false,false,false,false,SRH,active,25,,false,false
Mayank Yadav,right-hand,pace,Indian,bowler,false,false,false,true,LSG,active,4,,false,false
M Ayush,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
M Chaitanya Reddy,right-hand,,Indian,batsman,false,true,false,false,SRH,retired,1,,false,false
M Harishankar Reddy,right-hand,pace,Indian,bowler,false,false,false,false,SRH,retired,1,,false,false
M Mohammed,right-hand,pace,Indian,bowler,false,false,false,false,CSK,retired,2,,false,false
M Naman Dhir,right-hand,legbreak,Indian,batsman,false,false,true,false,MI,active,9,,false,false
M Shahrukh Khan,right-hand,offbreak,Indian,batsman,false,false,true,false,PBKS,active,35,,false,false
M Siddharth,left-hand,left-arm spin,Indian,bowler,false,false,false,false,LSG,active,6,,false,false
M Shubham Jadhav,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Michael Hussey,left-hand,,Overseas,batsman,false,true,false,false,CSK,retired,64,orange,true,true
Michael Nabi,right-hand,offbreak,Overseas,all-rounder,false,false,false,false,MI,active,11,,false,false
Mickey Edwards,right-hand,pace,Overseas,bowler,false,false,false,true,CSK,retired,1,,false,false
Mihir Hirwani,right-hand,legbreak,Indian,bowler,false,false,false,false,RR,active,2,,false,false
Mithun Manhas,right-hand,offbreak,Indian,batsman,false,false,false,false,DC,retired,2,,false,false
Naman Ojha,right-hand,,Indian,wk,false,true,false,false,DC,retired,77,,false,false
Naman Dhir,right-hand,legbreak,Indian,batsman,false,false,true,false,MI,active,9,,false,false
Nandre Burger,left-hand,pace,Overseas,bowler,false,false,false,true,RR,active,2,,false,false
Narasimha Kumar,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Natasha Miles,right-hand,,Overseas,batsman,false,true,false,false,MI,retired,1,,false,false
Navdeep Saini,right-hand,pace,Indian,bowler,false,false,false,true,RR,active,32,,false,false
Navneet Singh,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Nehal Wadhera,left-hand,left-arm spin,Indian,batsman,false,false,true,false,MI,active,22,,false,false
Nemo Singh,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Nicholas Pooran,left-hand,,Overseas,wk,false,false,true,false,LSG,active,82,,true,true
Nick Compton,right-hand,offbreak,Overseas,batsman,false,true,false,false,DC,retired,2,,false,false
Nikhil Naik,right-hand,,Indian,wk,false,true,false,false,MI,retired,20,,false,false
Nikhil Suryadevara,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Nikhil Yadav,left-hand,left-arm spin,Indian,bowler,false,false,false,false,RCB,retired,1,,false,false
Nitin Saini,right-hand,legbreak,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Nitin Sharma,right-hand,,Indian,batsman,false,true,false,false,DC,retired,1,,false,false
Nuwan Kulasekara,right-hand,pace,Overseas,bowler,false,false,false,true,CSK,retired,1,,false,false
Nuwan Pradeep,right-hand,pace,Overseas,bowler,false,false,false,true,DC,retired,2,,false,false
Obed McCoy,left-hand,pace,Overseas,bowler,false,false,false,true,RR,active,14,,false,false
